case_id,domain,seed,robust_diagonal,scale_median_over_diagonal,scale_q95_over_diagonal,match_median_over_diagonal,match_q95_over_diagonal,support_probability_mean,valid_fraction,abs_normal_displacement_q95_over_diagonal
nominal-seed-100000,nominal,100000,2902.5822807957607,0.0006680066259674043,0.004000363570831846,0.002589361297355658,0.019861771385545627,0.050183022547339785,0.7996794871794872,0.006909410026983658
nominal-seed-100001,nominal,100001,2899.581217527768,0.0005894299316599519,0.0035667627208886494,0.0020291283319360657,0.017771762467459953,0.06412056895655706,0.8012820512820513,0.006459077075853472
nominal-seed-100002,nominal,100002,2899.3262176159296,0.0006132775028994253,0.0039681270510554915,0.0021984989234576998,0.019748863200270212,0.06459535339460856,0.8125,0.006440865753929379
nominal-seed-100003,nominal,100003,2903.982533878539,0.000633210478177233,0.004069781790045154,0.00230827171716808,0.020236174211031917,0.07460700403043449,0.7980769230769231,0.005880508923103027
nominal-seed-100004,nominal,100004,2896.521068599828,0.0006471293300220396,0.003995519347355373,0.0024726046526525546,0.019656807614190884,0.057583177407974764,0.7948717948717948,0.0065349163016881345
nominal-seed-100005,nominal,100005,2901.3659537824333,0.0006460312870972656,0.003950741580119289,0.002317082942143786,0.01968540859990588,0.06985103272149079,0.7948717948717948,0.006173126967679558
nominal-seed-100006,nominal,100006,2900.7789701597335,0.0006324758696921865,0.004013960559369395,0.00242073190339945,0.019943160538677368,0.060092965171405284,0.7980769230769231,0.005949191362234742
nominal-seed-100007,nominal,100007,2901.297431630332,0.0006324435755142379,0.003951309503123794,0.0023071227381100874,0.019678423939595163,0.06385710301643399,0.7996794871794872,0.0067399191607016625
nominal-seed-100008,nominal,100008,2902.419863575519,0.0006847268054662844,0.003961285530785845,0.0026780889607366043,0.01977545444031005,0.058114210902563176,0.7932692307692307,0.006815908109495552
nominal-seed-100009,nominal,100009,2901.4255449943043,0.0006596723039238265,0.003984005292084703,0.002604882965172511,0.019799315460407776,0.06638333596225096,0.8012820512820513,0.007199004425580635
nominal-seed-100010,nominal,100010,2904.885422308224,0.0006878370155103522,0.003992971524246468,0.0027364212086908625,0.019857380413179145,0.07064305419957727,0.8060897435897436,0.006476873814643315
nominal-seed-100011,nominal,100011,2904.2929794256615,0.0005904297946751703,0.0036658921073956063,0.002085520083358243,0.018248412943110116,0.06648903991669694,0.7948717948717948,0.005635166316066378
nominal-seed-100012,nominal,100012,2892.402591568373,0.0007079036366263975,0.00389177187836513,0.0028342930898892127,0.019382803740517818,0.05448134720462891,0.7900641025641025,0.00692634291789623
nominal-seed-100013,nominal,100013,2904.876803221917,0.0005812820212729949,0.00365282797764708,0.0022505678930734236,0.018179290365355264,0.07068158255601276,0.7980769230769231,0.006662713436955221
nominal-seed-100014,nominal,100014,2899.426113264781,0.0006365623777153772,0.0039879201844312435,0.0024191598864151476,0.019781084032936908,0.06505236147812643,0.7980769230769231,0.006250802838342095
nominal-seed-100015,nominal,100015,2908.579302179273,0.0006614820391229509,0.0042544910683262995,0.0023781070016220458,0.02118763988534213,0.07484335672466791,0.7980769230769231,0.005698975673418487
nominal-seed-100016,nominal,100016,2898.804964421328,0.0006581688151051117,0.004021066172952141,0.0024618312611348367,0.02003649531425094,0.05553750233548069,0.7884615384615384,0.006786871386150187
nominal-seed-100017,nominal,100017,2899.4892101797195,0.0005979800284819267,0.003893948230817827,0.0022298582906226483,0.01934808981898543,0.06339277339108546,0.8108974358974359,0.006226612400536438
nominal-seed-100018,nominal,100018,2903.543898616936,0.0006784159341751641,0.003999927757012427,0.002294288508936017,0.01984704447787916,0.06736423163625958,0.7964743589743589,0.00608274624910791
